trajID,t,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z
0,1.77,0.72334,2.15595,0.72164,0.636357,0.660905,-0.873235,-0.31568,-3.74272,1.23127
0,1.78,0.729688,2.16238,0.71297,0.633146,0.623315,-0.8608,-0.326544,-3.77503,1.25577
0,1.79,0.736003,2.16842,0.704425,0.629827,0.585409,-0.84812,-0.337319,-3.806,1.28002
0,1.8,0.742284,2.17408,0.696008,0.6264,0.5472,-0.8352,-0.348,-3.8356,1.304
0,1.81,0.74853,2.17936,0.687722,0.622867,0.508702,-0.822041,-0.358584,-3.86381,1.32771
0,1.82,0.754741,2.18426,0.679568,0.619229,0.469929,-0.808647,-0.369069,-3.8906,1.35113
0,1.83,0.760915,2.18876,0.671549,0.615486,0.430895,-0.79502,-0.379451,-3.91595,1.37427
0,1.84,0.76705,2.19287,0.663668,0.61164,0.391614,-0.781162,-0.389726,-3.93983,1.39711
0,1.85,0.773147,2.19659,0.655927,0.607692,0.352103,-0.767078,-0.399891,-3.96223,1.41965
0,1.86,0.779204,2.19991,0.648328,0.603643,0.312375,-0.752771,-0.409944,-3.9831,1.44187
0,1.87,0.78522,2.20284,0.640872,0.599493,0.272446,-0.738242,-0.419881,-4.00244,1.46378
0,1.88,0.791193,2.20536,0.633563,0.595245,0.232331,-0.723496,-0.429698,-4.02021,1.48536
0,1.89,0.797124,2.20749,0.626403,0.5909,0.192047,-0.708536,-0.439394,-4.0364,1.5066
0,1.9,0.803011,2.2092,0.619393,0.586458,0.151609,-0.693365,-0.448963,-4.05096,1.52751
0,1.91,0.808853,2.21052,0.612536,0.581921,0.111033,-0.677987,-0.458404,-4.06389,1.54806
0,1.92,0.814649,2.21142,0.605834,0.57729,0.0703365,-0.662405,-0.467712,-4.07516,1.56826
0,1.93,0.820399,2.21192,0.599289,0.572567,0.0295356,-0.646623,-0.476885,-4.08474,1.58809
0,1.94,0.8261,2.21201,0.592903,0.567753,-0.0113526,-0.630645,-0.48592,-4.09261,1.60755
0,1.95,0.831753,2.2117,0.586677,0.562849,-0.0523108,-0.614473,-0.494813,-4.09874,1.62663
0,1.96,0.837357,2.21097,0.580614,0.557857,-0.0933215,-0.598113,-0.50356,-4.10311,1.64532
0,1.97,0.84291,2.20983,0.574715,0.552779,-0.134367,-0.581568,-0.51216,-4.10569,1.66361
0,1.98,0.848412,2.20828,0.568983,0.547615,-0.175429,-0.564843,-0.520608,-4.10646,1.6815
0,1.99,0.853862,2.20632,0.563419,0.542367,-0.21649,-0.54794,-0.528901,-4.10539,1.69899
0,2,0.859259,2.20395,0.558025,0.537037,-0.257531,-0.530864,-0.537037,-4.10247,1.71605
0,2.01,0.864603,2.20117,0.552802,0.531627,-0.298533,-0.51362,-0.545012,-4.09766,1.73269
0,2.02,0.869892,2.19798,0.547753,0.526137,-0.339478,-0.496212,-0.552822,-4.09094,1.74889
0,2.03,0.875125,2.19438,0.542878,0.520571,-0.380345,-0.478644,-0.560464,-4.08229,1.76465
0,2.04,0.880303,2.19037,0.53818,0.514929,-0.421117,-0.46092,-0.567936,-4.07168,1.77997
0,2.05,0.885423,2.18596,0.533661,0.509213,-0.461772,-0.443046,-0.575234,-4.05908,1.79483
0,2.06,0.890487,2.18114,0.52932,0.503425,-0.502292,-0.425025,-0.582354,-4.04448,1.80922
0,2.07,0.895492,2.17591,0.52516,0.497566,-0.542655,-0.406863,-0.589294,-4.02785,1.82314
0,2.08,0.900438,2.17029,0.521183,0.491639,-0.582842,-0.388564,-0.596051,-4.00915,1.83658
0,2.09,0.905324,2.16426,0.51739,0.485646,-0.622831,-0.370133,-0.602621,-3.98838,1.84954
